Date,Open,High,Low,Close,Volume
2021-10-28,235.5,248.0,235.5,240.5,11391790
2021-10-29,243.0,251.5,234.0,240.5,7633153
2021-11-01,238.0,241.5,230.5,234.0,4665550
2021-11-02,236.0,236.0,226.5,228.5,3144488
2021-11-03,231.0,234.0,226.5,232.0,2676101
2021-11-04,230.0,234.5,229.5,231.5,1814540
2021-11-05,233.0,233.5,226.5,230.5,1610553
2021-11-08,231.0,232.0,227.5,230.0,996698
2021-11-09,233.5,236.0,231.5,232.0,1270290
2021-11-10,233.5,233.5,230.0,231.0,659297
2021-11-11,228.0,235.0,228.0,229.5,1115512
2021-11-12,233.0,236.0,230.5,232.0,924767
2021-11-15,234.0,238.0,233.0,234.0,1546658
2021-11-16,235.0,235.5,230.0,233.0,1801246
2021-11-17,235.0,240.0,229.0,233.0,3268716
2021-11-18,234.5,235.5,228.0,232.0,2818454
2021-11-19,233.5,233.5,226.5,227.5,2291921
2021-11-22,228.5,234.0,228.0,233.0,1351644
2021-11-23,232.5,232.5,228.0,228.5,1185787
2021-11-24,235.0,248.0,235.0,245.0,7612546
2021-11-25,252.0,269.5,251.5,269.5,13298544
2021-11-26,261.5,272.5,261.0,272.5,10318846
2021-11-29,267.0,280.5,266.5,280.0,7225543
2021-11-30,290.5,293.5,276.0,280.0,6202700
2021-12-01,275.5,281.0,271.0,279.5,5389742
2021-12-02,276.0,278.0,267.0,269.0,4073703
2021-12-03,272.0,276.0,266.0,274.5,3312619
2021-12-06,274.0,276.5,268.0,275.5,2827092
2021-12-07,286.5,290.0,277.5,278.0,5006115
2021-12-08,280.0,283.0,276.0,280.0,2650871
2021-12-09,287.0,293.0,273.5,276.5,3851880
2021-12-10,276.5,284.0,272.0,280.0,2252263
2021-12-13,278.0,281.5,275.0,279.0,1526362
2021-12-14,278.0,278.5,271.0,274.0,1289556
2021-12-15,274.0,277.5,272.0,275.0,1725760
2021-12-16,279.0,285.0,277.0,282.5,2758539
2021-12-17,280.0,281.5,274.5,276.5,2024795
2021-12-20,276.5,281.0,275.5,275.5,966131
2021-12-21,278.0,279.0,273.0,275.5,1185852
2021-12-22,279.0,279.0,270.5,275.5,1800275
2021-12-23,278.5,282.5,276.0,281.0,2333722
2021-12-24,282.0,283.0,275.0,276.5,1743300
2021-12-27,277.0,280.0,273.5,277.5,1036623
2021-12-28,277.5,279.0,275.5,277.5,945768
2021-12-29,279.0,281.0,277.5,279.5,724515
2021-12-30,281.0,281.5,277.5,278.0,747636
2022-01-03,280.0,298.0,275.0,277.5,4474561
2022-01-04,277.5,280.0,274.0,277.0,3265428
2022-01-05,277.5,281.5,276.0,280.5,2501882
2022-01-06,279.0,288.5,279.0,285.0,4160045
2022-01-07,285.5,286.0,272.0,273.0,2999842
2022-01-10,274.0,276.5,272.5,275.0,2123971
2022-01-11,272.5,274.5,261.0,262.5,2965004
2022-01-12,270.0,270.0,256.5,262.0,1893327
2022-01-13,262.5,266.5,259.0,262.0,1676478
2022-01-14,262.0,268.0,258.5,267.0,1443920
2022-01-17,267.0,274.0,261.5,274.0,2913108
2022-01-18,268.0,282.5,268.0,276.0,2793454
2022-01-19,270.0,282.0,270.0,281.5,1659918
2022-01-20,278.0,281.0,275.5,279.0,2099224
2022-01-21,275.5,278.0,270.0,273.0,2269332
2022-01-24,267.0,275.0,266.5,275.0,997738
2022-01-25,274.0,274.5,264.0,265.0,2079614
2022-01-26,266.5,267.5,256.5,264.5,2277377
2022-02-07,275.0,275.0,269.0,271.5,1775224
2022-02-08,277.0,284.0,271.0,275.0,3936544
2022-02-09,276.5,279.5,274.0,275.5,1619745
2022-02-10,277.5,286.0,276.0,285.5,3098555
2022-02-11,285.0,285.0,279.0,279.0,2442213
